Pid	            ArrivalTime		BurstTime		Affinity     
1				0				10				1				
2				0				15				1
3				4				7				1
4				7				9				1
5				8				12				1
6				10				1				1
7				11				1				1
8				14				4				1
9				14				6				1
10				20				20				1
11				20				20				1
12				20				28				1
13				20				40				1
14				21				12				1
15				22				2				1
16				25				12				1
17				30				70				1
18				33				9				1
19				21				7				1
20				12				12				1
21              35              21              1
22              23              100             1
23              43              4               1
24              40              10              1
25              13              9               1
26				1				3				1
27				41				12				1
28				50				20				1
29				21				10				1
30				60				1				1
